# beta(deg),gamma(deg)
169.611,165.233
161.956,27.725
156.640,250.217
152.282,112.710
148.480,335.202
145.052,197.694
141.895,60.186
138.947,282.679
136.163,145.171
133.513,7.663
130.976,230.155
128.532,92.648
126.169,315.140
123.875,177.632
121.641,40.124
119.459,262.616
117.324,125.109
115.229,347.601
113.169,210.093
111.140,72.585
109.139,295.078
107.162,157.570
105.206,20.062
103.268,242.554
101.345,105.047
99.435,327.539
97.536,190.031
95.645,52.523
93.760,275.016
91.879,137.508
90.000,0.000
88.121,222.492
86.240,84.984
84.355,307.477
82.464,169.969
80.565,32.461
78.655,254.953
76.732,117.446
74.794,339.938
72.838,202.430
70.861,64.922
68.860,287.415
66.831,149.907
64.771,12.399
62.676,234.891
60.541,97.384
58.359,319.876
56.125,182.368
53.831,44.860
51.468,267.352
49.024,129.845
46.487,352.337
43.837,214.829
41.053,77.321
38.105,299.814
34.948,162.306
31.520,24.798
27.718,247.290
23.360,109.783
18.044,332.275
10.389,194.767
