# beta(deg),gamma(deg)
180.000,0.000
90.000,0.267
120.000,0.444
60.000,0.622
138.590,0.800
75.522,0.978
104.478,1.156
41.410,1.333
151.045,1.511
82.819,1.689
112.024,1.867
51.318,2.044
128.682,2.222
67.976,2.400
97.181,2.578
28.955,2.756
159.636,2.933
86.417,3.111
115.944,3.289
55.771,3.467
133.433,3.644
71.790,3.822
100.807,4.000
35.659,4.178
144.341,4.356
79.193,4.533
108.210,4.711
46.567,4.889
124.229,5.067
64.056,5.244
93.583,5.422
20.364,5.600
165.638,5.778
88.209,5.956
117.953,6.133
57.910,6.311
135.951,6.489
73.665,6.667
102.636,6.844
38.625,7.022
147.538,7.200
81.011,7.378
110.106,7.556
48.986,7.733
126.424,7.911
66.031,8.089
95.379,8.267
25.008,8.444
154.992,8.622
84.621,8.800
113.969,8.978
53.576,9.156
131.014,9.333
69.894,9.511
98.989,9.689
32.462,9.867
141.375,10.044
77.364,10.222
106.335,10.400
44.049,10.578
122.090,10.756
62.047,10.933
91.791,11.111
14.362,11.289
169.858,11.467
89.105,11.644
118.972,11.822
58.961,12.000
137.254,12.178
74.596,12.356
103.555,12.533
40.037,12.711
149.246,12.889
81.916,13.067
111.062,13.244
50.162,13.422
127.544,13.600
67.007,13.778
96.279,13.956
27.048,14.133
157.202,14.311
85.519,14.489
114.953,14.667
54.681,14.844
132.212,15.022
70.845,15.200
99.897,15.378
34.093,15.556
142.833,15.733
78.280,15.911
107.270,16.089
45.322,16.267
123.153,16.444
63.056,16.622
92.687,16.800
17.612,16.978
162.388,17.156
87.313,17.333
116.944,17.511
56.847,17.689
134.678,17.867
72.730,18.044
101.720,18.222
37.167,18.400
145.907,18.578
80.103,18.756
109.155,18.933
47.788,19.111
125.319,19.289
65.047,19.467
94.481,19.644
22.798,19.822
152.952,20.000
83.721,20.178
112.993,20.356
52.456,20.533
129.838,20.711
68.938,20.889
98.084,21.067
30.754,21.244
139.963,21.422
76.445,21.600
105.404,21.778
42.746,21.956
121.039,22.133
61.028,22.311
90.895,22.489
10.142,22.667
172.833,22.844
89.552,23.022
119.484,23.200
59.482,23.378
137.918,23.556
75.060,23.733
104.016,23.911
40.728,24.089
150.133,24.267
82.368,24.444
111.542,24.622
50.742,24.800
128.111,24.978
67.492,25.156
96.730,25.333
28.016,25.511
158.386,25.689
85.968,25.867
115.448,26.044
55.228,26.222
132.819,26.400
71.318,26.578
100.352,26.756
34.884,26.933
143.580,27.111
78.737,27.289
107.739,27.467
45.948,27.644
123.689,27.822
63.557,28.000
93.135,28.178
19.036,28.356
163.933,28.533
87.761,28.711
117.448,28.889
57.380,29.067
135.311,29.244
73.198,29.422
102.177,29.600
37.902,29.778
146.714,29.956
80.557,30.133
109.630,30.311
48.390,30.489
125.869,30.667
65.540,30.844
94.930,31.022
23.927,31.200
153.953,31.378
84.171,31.556
