# beta(deg),gamma(deg)
58.283,90.000
58.283,270.000
121.717,90.000
121.717,270.000
31.717,0.000
31.717,180.000
148.283,0.000
148.283,180.000
90.000,31.717
90.000,148.283
90.000,328.283
90.000,211.717
90.000,180.000
120.000,200.905
60.000,200.905
120.000,159.095
60.000,159.095
108.000,238.283
72.000,238.283
108.000,121.717
72.000,121.717
144.000,238.283
36.000,238.283
144.000,121.717
36.000,121.717
90.000,270.000
180.000,0.000
0.000,0.000
90.000,90.000
144.000,301.717
36.000,301.717
144.000,58.283
36.000,58.283
108.000,301.717
72.000,301.717
108.000,58.283
72.000,58.283
120.000,339.095
60.000,339.095
120.000,20.905
60.000,20.905
90.000,0.000
90.000,195.859
90.000,164.141
105.240,189.694
74.760,189.694
105.240,170.306
74.760,170.306
105.064,206.701
74.936,206.701
105.064,153.299
74.936,153.299
121.717,180.000
58.283,180.000
99.243,224.661
80.757,224.661
99.243,135.339
80.757,135.339
134.591,193.035
45.409,193.035
134.591,166.965
45.409,166.965
115.171,220.501
64.829,220.501
115.171,139.499
64.829,139.499
133.487,215.890
46.513,215.890
133.487,144.110
46.513,144.110
90.000,238.283
90.000,121.717
149.618,210.921
30.382,210.921
149.618,149.079
30.382,149.079
126.000,238.283
54.000,238.283
126.000,121.717
54.000,121.717
164.141,180.000
15.859,180.000
99.350,254.550
80.650,254.550
115.715,253.234
64.285,253.234
115.715,106.766
64.285,106.766
99.350,105.450
80.650,105.450
133.930,257.113
46.070,257.113
162.000,238.283
18.000,238.283
162.000,121.717
18.000,121.717
133.930,102.887
46.070,102.887
105.859,270.000
74.141,270.000
148.283,270.000
31.717,270.000
148.283,90.000
31.717,90.000
105.859,90.000
74.141,90.000
133.930,282.887
46.070,282.887
162.000,301.717
18.000,301.717
162.000,58.283
18.000,58.283
133.930,77.113
46.070,77.113
99.350,285.450
80.650,285.450
115.715,286.766
64.285,286.766
115.715,73.234
64.285,73.234
99.350,74.550
80.650,74.550
164.141,0.000
15.859,0.000
126.000,301.717
54.000,301.717
126.000,58.283
54.000,58.283
149.618,329.079
30.382,329.079
149.618,30.921
30.382,30.921
90.000,301.717
90.000,58.283
133.487,324.110
46.513,324.110
133.487,35.890
46.513,35.890
115.171,319.499
64.829,319.499
115.171,40.501
64.829,40.501
134.591,346.965
45.409,346.965
134.591,13.035
45.409,13.035
99.243,315.339
80.757,315.339
99.243,44.661
80.757,44.661
121.717,0.000
58.283,0.000
105.064,333.299
74.936,333.299
105.064,26.701
74.936,26.701
105.240,350.306
74.760,350.306
105.240,9.694
74.760,9.694
90.000,344.141
90.000,15.859
90.000,187.929
90.000,172.071
97.647,184.760
82.353,184.760
97.647,175.240
82.353,175.240
97.631,192.831
82.369,192.831
97.631,167.169
82.369,167.169
105.450,180.000
74.550,180.000
97.565,201.185
82.435,201.185
97.565,158.815
82.435,158.815
105.312,198.201
74.688,198.201
105.312,161.799
74.688,161.799
90.000,203.788
90.000,156.212
113.554,185.152
66.446,185.152
113.554,174.848
66.446,174.848
112.717,194.996
67.283,194.996
112.717,165.004
67.283,165.004
97.539,209.253
82.461,209.253
97.539,150.747
82.461,150.747
112.558,203.961
67.442,203.961
112.558,156.039
67.442,156.039
121.283,190.547
58.717,190.547
121.283,169.453
58.717,169.453
102.300,215.780
77.700,215.780
102.300,144.220
77.700,144.220
94.651,218.147
85.349,218.147
94.651,141.853
85.349,141.853
110.252,213.376
69.748,213.376
110.252,146.624
69.748,146.624
128.334,185.937
51.666,185.937
128.334,174.063
51.666,174.063
127.360,197.355
52.640,197.355
127.360,162.645
52.640,162.645
117.932,210.921
62.068,210.921
117.932,149.079
62.068,149.079
90.000,224.661
90.000,135.339
126.977,207.732
53.023,207.732
126.977,152.268
53.023,152.268
107.218,222.671
72.782,222.671
107.218,137.329
72.782,137.329
135.339,180.000
44.661,180.000
134.613,204.570
45.387,204.570
134.613,155.430
45.387,155.430
124.351,218.449
55.649,218.449
124.351,141.551
55.649,141.551
94.654,231.516
85.346,231.516
94.654,128.484
85.346,128.484
141.614,187.503
38.386,187.503
141.614,172.497
38.386,172.497
103.715,231.345
76.285,231.345
103.715,128.655
76.285,128.655
111.823,229.614
68.177,229.614
111.823,130.386
68.177,130.386
142.434,200.451
37.566,200.451
142.434,159.549
37.566,159.549
120.889,228.890
59.111,228.890
120.889,131.110
59.111,131.110
99.000,238.283
81.000,238.283
99.000,121.717
81.000,121.717
141.578,213.849
38.422,213.849
141.578,146.151
38.422,146.151
130.284,227.703
49.716,227.703
130.284,132.297
49.716,132.297
149.875,195.154
30.125,195.154
149.875,164.846
30.125,164.846
117.000,238.283
63.000,238.283
117.000,121.717
63.000,121.717
139.283,225.897
40.717,225.897
139.283,134.103
40.717,134.103
156.212,180.000
23.788,180.000
94.722,246.361
85.278,246.361
94.722,113.639
85.278,113.639
103.808,246.567
76.192,246.567
103.808,113.433
76.192,113.433
112.027,245.555
67.973,245.555
